run_id,run_name,timestamp,epoch,train_loss,val_loss,train_acc,val_acc,train_macro_f1,val_macro_f1,val_critical_recall,train_cat_acc,val_cat_acc,val_cat_macro_f1,val_prec_low,val_rec_low,val_f1_low,val_prec_medium,val_rec_medium,val_f1_medium,val_prec_high,val_rec_high,val_f1_high,val_prec_critical,val_rec_critical,val_f1_critical,lr,emb_dim,hidden_dim,num_layers,bidirectional,attn_dim,dropout,head_hidden,max_len,max_vocab,min_freq,lowercase,batch_size,epochs_planned,optimizer,scheduler,weight_decay,grad_clip,patience,critical_boost,w_category,w_urgency,use_class_weights,seed,device,epoch_seconds,cm_0_0,cm_0_1,cm_0_2,cm_0_3,cm_1_0,cm_1_1,cm_1_2,cm_1_3,cm_2_0,cm_2_1,cm_2_2,cm_2_3,cm_3_0,cm_3_1,cm_3_2,cm_3_3
20260707-004720,small-64-highdrop,,1,3.97388,3.53291,0.25413,0.14325,0.24355,0.17488,1.0,,,,,,,,,,,,,,,,0.001,64,64,1,,64,0.5,128,,,,,64,,adamw,plateau,1e-05,5.0,6,3.0,1.0,1.0,,,,1.71,43,4,9,195,9,10,9,253,0,2,33,141,0,0,0,18
20260707-004720,small-64-highdrop,,2,3.41133,2.85329,0.3598,0.40358,0.33552,0.39449,1.0,,,,,,,,,,,,,,,,0.001,64,64,1,,64,0.5,128,,,,,64,,adamw,plateau,1e-05,5.0,6,3.0,1.0,1.0,,,,1.59,95,26,30,100,26,70,54,131,0,11,110,55,0,0,0,18
20260707-004720,small-64-highdrop,,3,3.01868,2.22676,0.44687,0.54683,0.41078,0.49952,1.0,,,,,,,,,,,,,,,,0.001,64,64,1,,64,0.5,128,,,,,64,,adamw,plateau,1e-05,5.0,6,3.0,1.0,1.0,,,,1.65,144,39,25,43,30,97,66,88,0,10,138,28,0,0,0,18
20260707-004720,small-64-highdrop,,4,2.59776,1.62271,0.53483,0.6405,0.48631,0.5821,1.0,,,,,,,,,,,,,,,,0.001,64,64,1,,64,0.5,128,,,,,64,,adamw,plateau,1e-05,5.0,6,3.0,1.0,1.0,,,,1.67,182,55,4,10,43,133,58,47,0,19,132,25,0,0,0,18
20260707-004720,small-64-highdrop,,5,2.2424,1.33749,0.5729,0.67906,0.53177,0.62708,1.0,,,,,,,,,,,,,,,,0.0005,64,64,1,,64,0.5,128,,,,,64,,adamw,plateau,1e-05,5.0,6,3.0,1.0,1.0,,,,1.66,185,56,4,6,46,145,58,32,0,15,145,16,0,0,0,18
20260707-004720,small-64-highdrop,,6,2.02661,1.08128,0.59563,0.70661,0.55915,0.66265,1.0,,,,,,,,,,,,,,,,0.0005,64,64,1,,64,0.5,128,,,,,64,,adamw,plateau,1e-05,5.0,6,3.0,1.0,1.0,,,,1.64,197,49,5,0,48,148,60,25,1,12,150,13,0,0,0,18
20260707-004720,small-64-highdrop,,7,1.84805,0.8761,0.61718,0.7011,0.58706,0.67011,1.0,,,,,,,,,,,,,,,,0.0005,64,64,1,,64,0.5,128,,,,,64,,adamw,plateau,1e-05,5.0,6,3.0,1.0,1.0,,,,1.67,203,43,5,0,68,136,61,16,1,10,152,13,0,0,0,18
20260707-004720,small-64-highdrop,,8,1.69232,0.79787,0.61777,0.70248,0.58376,0.66475,1.0,,,,,,,,,,,,,,,,0.00025,64,64,1,,64,0.5,128,,,,,64,,adamw,plateau,1e-05,5.0,6,3.0,1.0,1.0,,,,1.65,203,43,5,0,62,138,61,20,1,11,151,13,0,0,0,18
20260707-004720,small-64-highdrop,,9,1.67375,0.70064,0.62869,0.69697,0.59273,0.6775,1.0,,,,,,,,,,,,,,,,0.00025,64,64,1,,64,0.5,128,,,,,64,,adamw,plateau,1e-05,5.0,6,3.0,1.0,1.0,,,,1.66,199,47,5,0,72,138,60,11,1,11,151,13,0,0,0,18
20260707-004720,small-64-highdrop,,10,1.57655,0.64158,0.62898,0.7011,0.59406,0.6804,1.0,,,,,,,,,,,,,,,,0.00025,64,64,1,,64,0.5,128,,,,,64,,adamw,plateau,1e-05,5.0,6,3.0,1.0,1.0,,,,1.64,201,45,5,0,71,139,60,11,1,11,151,13,0,0,0,18
